Company Name_preprocessed,company_map,Availablity,link
cdkglobal,CDK Global,,
centrefordevelopmentofadvancedcomputing,C-DAC (Centre for Developmentof Advanced Computing),,
cdac,C-DAC,,
cbre,CBRE,,
caterpillar,Caterpillar,,
cashe,CASHe,,
cartesianconsulting,Cartesian Consulting,,
cars24com,Cars24,,
cargoflashinfotech,Cargoflash,,
cargill,Cargill India,,
careernetconsulting,Careernet,,
careerera,Careerera,,
careerlauncher,Career Launcher,,
cardekho,CarDekho,,
capitalone,Capital One,,
capgemini,Capgemini,,
capgeminiengineering,Capgemini,,
capgeminiinvent,Capgemini,,
capfronttechnologies,CapFront Techonlogy,,
capforce,Capforce,,
capco,Capco,,
capacentreforaviation,CAPA,,
canwilltechnologies,CanWill,,
candletechserv,CANDLE TECHSERV,,
canderecom,Candere,,
campsystems,CAMP Systems,,
callhealth,CallHealth,,
caetprojectmanagementconsultants,CAET Project Management Consultants,,
bytesoftwareservices,Bytes Software Services,,
byteridgesoftware,Byteridge,,
byjus,BYJU'S,,
busigencetechnologies,Busigence,,
bullhorn,Bullhorn,,
buddhimedtechnologies,Buddhimed Technologies,,
bshshs,Bshshs,,
broadridge,Broadridge,,
britistelecom,British Telecom,,
bristlecone,Bristlecone,,
brisktechnologies,Brisk Technologies,,
brillio,Brillio,,
brillotechnologies,Brillio,,
brightmoney,Bright Money,,
bridgelabzsolutions,BridgeLabz,,
bridgei2i,BRIDGEi2i,,
braneenterprisesnslhub,Brane Enterprises,,
brandscapesworldwide,Brandscapes Worldwide,,
brainwaveconsulting,Brainwave Consulting,,
brainovision,Brainovision Solutions,,
bourntecsolutions,Bourntec Solutions,,
bounce,Bounce,,
bostonscientific,Boston Scientific,,
bookmyshow,BookMyShow,,
bookmeds,BookMeds,,
bombinatetechnologies,Bombinate Technologies Private Limited,,
bold,BOLD,,
boeing,Boeing,,
bobblekeyboard,Bobble AI,,
bnymellon,BNY Mellon,,
bntsoft,BNT Soft,,
bmnhagenszeist,BMN Hagens Zeist,,
blueoptima,BlueOptima,,
blueocean,BlueOcean,,
blueyonder,Blue Yonder,,
blueumbrella,Blue Umbrella,,
blueskyanalytics,Blue Sky Analytics,,
blueplanetsolutions,Blue Planet Solutions,,
blueoceanmarketintelligence,Blue Ocean Market Intelligence,,
bluedartexpress,Blue Dart,,
bloomberglp,Bloomberg L.P,,
blitzjobs,Blitzjobs,,
blazeclantechnologies,Blazeclan,,
blah,Blah Blah Blah Inc,,
blackstraw,BlackStraw AI,,
blackrock,BlackRock,,
blackhawknetwork,Blackhawk Network,,
blackcoffer,Blackcoffer,,
blackbuckinsights,Blackbuck Insights,,
bizviztechnologies,Bizviz Technologies Private Limited,,
bizreach,BIZREACH,,
bizongo,Bizongo,,
bizkonnectsolutions,BizKonnect,,
bitwise,Bitwise,,
bitwisesolutionsindia,Bitwise,,
bits,BITS,,
bitspilani,BITS,,
bitlogicsoftware,BitLogic Software,,
birlasoft,Birlasoft,,
birdeye,BirdEye,,
bioxcelcorporation,Bioxcel,,
biosensetechnologies,Biosense,,
biocon,Biocon,,
bighaat,BigHaat,,
bigdatascienceresearch,Big Data Science Research,,
bidmath,BIDMATH,,
bidgely,Bidgely UtilityAI,,
bhartiairtel,Bharti Airtel,,
bharatpetroleum,Bharat Petroleum,,
bharatlightpower,Bharat Light & Power,,
bharatheavyelectricals,Bharat Heavy Electricals Limited,,
bharatfinancialinclusion,Bharat Financial Inclusion Limited,,
bewakoofbrands,Bewakoof,,
betterplacesafetysolutions,BetterPlace,,
betterhalf,Betterhalf.ai,,
bettercom,Better Mortgage,,
bestintownanalytics,Best in Town Analytics,,
berkadia,Berkadia,,
bepecsolutions,BEPEC,,
belong,Belong.co,,
beamsuntory,Beam Suntory,,
bdo,BDO,,
bostonconsultinggroup,BCG,,
bartlebytechnologies,Bartleby Technologies Pvt Ltd,,
barclays,Barclays,,
bankbazaar,BankBazaar,,
bankofamerica,Bank of America,,
bankofamericamerrilllynch,Bank of America,,
banctec,BancTec,,
bakerhughes,Baker Hughes,,
bajajfinance,Bajaj Finserv,,
bajajfinservhealth,Bajaj Finserv,,
bajajallianzgeneralinsuranceco,Bajaj Allianz,,
baincompany,Bain & Company,,
bacontinuumindia,BA Continuum India Pvt. Ltd,,
b3intelligence,B3 Intelligence,,
batlivalakaranisecurities,B&K Securities,,
bbanalytics,B&B Analytics,,
azureskynet,Azure Skynet,,
axtria,Axtria,,
axismyindia,AXIS MY INDIA,,
axisbank,Axis Bank,,
axionconnectinfosolutions,AxionConnect Info Solutions Pvt. Ltd.,,
axaxl,AXA XL,,
axagobusinessoperations,AXA Business Services,,
axa,AXA,,
avnitr,AVNIER,,
aviso,Aviso,,
avianacquisition,AVIAN,,
avanturian,Aventure Systems,,
aventior,Aventior,,
avegen,Avegen Health,,
avantaritechnologies,Avantari,,
avalara,Avalara,,
availfinance,Avail Finance,,
avaamo,Avaamo,,
automatonai,Automaton AI,,
automationengineering,Automation Engineering Company,,
automationanywhere,Automation Anywhere,,
autodesk,Autodesk India,,
aureusanalytics,Aureus Analytics,,
attra,Attra,,
attentiveai,Attentive AI,,
atsservicesindia,ATS Services,,
atos,Atos,,
atossyntel,Atos,,
atlassian,Atlassian,,
atlassystems,Atlas Systems,,
atlascopco,Atlas Copco,,
atlan,Atlan,,
atkins,Atkins,,
atidiv,Atidiv,,
athenasowl,AthenasOwl,,
atgeirsolutions,Atgeir Solutions,,
astegic,Astegic,,
assembly,Assembly,,
asquarediot,Asquared IoT Bangalore,,
aspiontechnologies,Aspion,,
asianoilfieldservices,Asian Energy Services,,
ashokleyland,Ashok Leyland India,,
ascentrikresearchservices,Ascentrik Research,,
ascentiaaisolutions,ASCENTIA.AI,,
ascenthrservices,Ascent Consulting Services Pvt. Ltd.,,
ascenthealthwellnesssolutions,Ascent,,
ascena,ascena Retail,,
aryaai,Arya.ai,,
aryasolution,Arya solutions,,
aryariskmanagementsolutions,ARYA RISK,,
arvindinternet,Arvind Internet Limited,,
arubanetworks,Aruba,,
artivaticdatalabs,Artivatic,,
artit,Artit,,
artigianitechnologies,Artigiani Technologies,,
artigiani,Artigiani pizzeria cucina,,
artificialpenetration,Artificial Penetration,,
artificiallearningsystems,Artificial Learning Systems,,
artificialbrix,Artificial Brix,,
artefact,Artefact,,
arstudioz,ArStudioz,,
arohioperations,Arohi Operations Private Limited,,
arohatechnologies,Aroha Technologies,,
ariatechitsolutions,Ariatech IT Solutions,,
argussystem,Argus System,,
ardem,ARDEM Incorporated,,
archents,archents,,
arcadix,Arcadix,,
arcadis,Arcadis,,
aptusdatalabs,Aptus Data Labs,,
aptara,Aptara Corp,,
apsidatasolutions,Apsidata Solutions,,
apralabs,Apra Labs,,
appzen,AppZen AI,,
appyhightechnology,AppyHigh,,
apptware,Apptware,,
apptio,Apptio,,
appstek,AppsTek Corp,,
appliedmaterials,Applied Materials,,
applieddatafinance,Applied Data Finance,,
appliedaicourse,Applied AI Course,,
appliedaiconsulting,Applied AI Consulting,,
apple,Apple,,
appen,Appen,,
appberry,AppBerry.co,,
apporchid,App Orchid,,
apisero,Apisero,,
apicalsolutions,apical solutions,,
apexon,Apexon,,
apexcovantage,Apex CoVantage,,
apartechnologies,Apar Technologies,,
aon,Aon,,
anzbank,ANZ,,
anytimeloanin,AnyTimeLoan,,
antworks,AntWorks,,
antuit,Antuit.ai,,
anshultech,Anshultech,,
anonymouscontent,Anonymous Content,,
anniktechnologyservices,ANNIK TECHNOLOGIES PRIVATE LIMITED,,
annalect,Annalect,,
ankitrjainassociates,Ankit R Jain & Associates,,
ankaha,Ank aha!,,
aniccadata,Anicca Data,NA,
angelone,Angel One,,
anbsystems,ANB Systems,,
anandrathi,Anand Rathi,,
analytixlabs,AnalytixLabs,,
analyticscosmmachinelearning,analyticscosm,,
analyticsvidhya,Analytics Vidhya,,
analyticsindiamagazine,Analytics India Magazine,,
analyticalwizards,Analytical Wizards,,
analysts,Analysts International,,
amygb,AmyGB.ai,,
amprovittechnologies,Amprovit Technologies Pvt Ltd,,
amplesoftechsystem,AmpleSoftech,,
amphisofttechnologies,Amphisoft,,
amnetdigital,Amnet Digital,,
amityuniversity,Amity University,,
ameriprise,Ameriprise Financial,,
americanstudentassistance,American Student Assistance,,
americanmanagementassociation,American Management Association,,
americanexpressglobalbusinesstravel,American Express Global Business Travel,,
americanexpress,American Express,,
americanautomobileassociationaaa,American Automobile Association,,
americanairlines,American Airlines,,
ameex,Ameex Technologies,,
amdocs,Amdocs,,
amcorefinancial,Amcore Financial Inc,,
ambrapalielectrotech,Ambrapali Electrotech Pvt Ltd,,
ambertaganalytics,AmberTAG,,
ambeeindia,Amber Enterprises India,,
amazonflex,Amazon Flex,,
amazon,Amazon,,
amararaja,Amara Raja,,
amadeus,Amadeus,,
altiusequipments,Altius Equipments,,
altisource,Altisource,,
altimetrik,Altimetrik,,
alten,ALTEN GROUP,,
alphonsoglobalsolutions,Alphonso Global,,
alphaalternatives,Alpha Alternatives,,
almug,Almug,,
almabetter,AlmaBetter,,
allstate,Allstate Insurance Company,,
allstateindia,Allstate India,,
allianz,Allianz,,
allianceuniversity,Alliance University,,
alliancehealthcare,Alliance Healthcare,,
alliancedata,Alliance Data Card Services,,
allegion,Allegion,,
artissignature,All Signatures,,
allitservices,All IT,,
alignedautomation,Aligned Automation,,
algoscale,Algoscale,,
algoritmosingapore,Algoritmo Lab,,
algonoxtechnologies,Algonox,,
algoanalyticsfinancialconsultancy,AlgoAnalytics,,
algoanalyticspvtltd,AlgoAnalytics,,
algo8ai,Algo8 AI,,
algoengines,Algo Engines,,
algebrasoftwareanalytics,Algebra Technologies Pvt. Ltd,,
alfonsoassociatesconsulting,Alfonso & Associates Consulting Inc,,
americanlanguagecommunicationcenter,ALCC American Language,,
albot,Albot Tech,,
alackrityconsols,Alackrity Consols,,
aktana,Aktana,,
akaiketechnologies,Akaike Technologies,,
ajio,ajio,,
ajeenkyadypatiluniversity,Ajeenkya D Y Patil University,,
aitouch,aiTouch,,
appliedinformationsciences,AIS (Applied Information Sciences),,
airpay,Airpay,,
airbus,Airbus,,
airavaatcarrentals,Airavat Car Rental & Cabs,,
airworldwide,AIR Worldwide,,
aindralabs,Aindra Labs,,
aikontechnologies,Aikon Technologies PrivateLimited,,
aikonlabs,AIKON LABS,,
aienterprise,AIEnterprise Inc.,,
aidetic,Aidetic,,
aibono,Aibono,,
Ã¡guasguariroba,ÁGUAS GUARIROBA,,
agstransacttechnologies,AGS Transact Technologies,,
agshealth,AGS Health,,
agricx,AgricxLab,,
agilecrm,Agile CRM,,
ageyetechnologies,AgEye Technologies,,
agaralabs,Agara,,
agapemarketingagency,Agape Marketing Agency,,
affle,Affle,,
affinsysai,Affinsys AI,,
affinityx,AffinityX,,
affinityanswers,Affinity Answers,,
affine,Affine,,
aeriestechnology,Aeries,,
aeratechnology,Aera Technology,,
aeratechnologyassociate,Aera,,
aegon,Aegon Group,,
aegis,AEGIS,,
adwyze,AdWyze,,
advisoryboard,Advisory Board,,
advidsco,ADVIDS- Video Content Creation Service,,
advancedinfrastructureengineering,Advanced Infrastructure Engineering Pvt Ltd,,
adp,ADP India,,
adobe,Adobe,,
admitme,Admit.me,,
adityabirlagroup,Aditya Birla Group,,
aditisoftware,Aditi Consulting,,
adhocservices,ADHOC Services,,
adglobal360,AdGlobal360,,
adecco,Adecco,,
adda247,Adda247.com,,
addinnovations,Add Innovations,,
adapptintelligence,Adappt Intelligence,,
adanigroup,Adani Group,,
acurisglobal,Acuris Global,,
acuityknowledgepartners,Acuity Knowledge Partners,,
actiknow,ActiKnow Consulting Pvt. Ltd.,,
acssolutions,ACS Solutions,,
acies,Acies,,
acdcommunications,Acd Communications,,
accurence,Accurence,,
accretivewizworkconsultants,accretive wiz@work consultants private limited,,
acclivistechnologies,Acclivis Technologies Pvt Ltd,,
accionlabs,Accion Labs,,
accentue,Accenture,,
accenture,Accenture,,
acalvio,Acalvio,,
abzooba,Abzooba,,
absolutdata,Absolutdata Analytics,,
absassolutions,ABSAS SOLUTIONS PRIVATE LIMITED,,
abhinavimmigrationservicespvtltd,Abhinav Immigration,,
abhijeetgroup,Abhijeet Group,,
abctech,ABC TECH,,
abcsupplyco,ABC Supply,,
abcdoabc,Abc do Abc,,
abc,ABC Consultants,NA,
abcconsultants,ABC Consultants,,
abbott,Abbott,,
abb,ABB Group,,
abinnovativesoftware,AB Innovative Software Private Limited,,
anheuserbuschinbev,AB InBev,,
aaysanalytics,Aays Analytics,,
aakash,Aakash Institute,,
aap,A A P & Co,,
91springboard,91Springboard,,
72dragons,72 Dragons Services,,
6sense,6 sense,,
5x,5X Technology,,
4criskai,4CRisk.ai,,
3loqlabs,3LOQ Labs,,
3ktechnologies,3k Technologies,,
3iinfotech,3i Infotech,,
360digitmg,360DigiTMG,,
247ai,24/7 AI,,
20kgroup,20K Group,,
2coms,2 COMS,,
159solutions,159 Solutions,,
1mg,1 MG,,
54y4,,NA,
aashishsharma,,NA,
abcdef,,NA,
activaca,,NA,
ajaybharti,,NA,
akashjha,,NA,
akhilsajeev,,NA,
amansingh,,NA,
amarsinghchawalwala,,NA,
aniketsonawane,,NA,
anonymous,,NA,
anuj,,NA,
arjunkappor,,NA,
asd,,NA,
assad,,NA,
at,,NA,
bÃ¤ckereiconditoreifleischli,,NA,
battumohit,,NA,
bca,,NA,
brahmanbhetun,,NA,
bt,,NA,
chhatrapatishivajiinternationalairport,,NA,
christiancollegeofengineeringtechnologyccet,,NA,
collegeinternshipprogram,,NA,
corviledlight,,NA,
datasciencecom,,NA,
datascientest,,NA,
datengineering,,NA,
dc,,NA,
deepaklalwani,,NA,
df,,NA,
dontknow,,NA,
downtoup,,NA,
du,,NA,
firststudentdatascientist,,NA,
fiscaliageneraldejusticiadelestadodemexico,,NA,
fresher,,NA,
gnaserveistelemÃ tics,,NA,
governmentengineeringcollege,,NA,
governmentofindia,,NA,
govindarajan,,NA,
grootsindia,,NA,
hritik,,NA,
hvjhv,,NA,
idk,,NA,
ieeestudentbranchvitpune,,NA,
imafresherstopaskingme,,NA,
instituteofengineeringmanagement,,NA,
iruparsociedadcooperativa,,NA,
jsjsnsjxijssn,,NA,
justdial,Justdial,,
kabbage,Kabbage,,
kagool,Kagool,,
kalittaair,Kalitta Air LLC,,
kantar,Kantar,,
kantaranalyticspractice,Kantar Analytics Practice,,
kantarworldpaneldivision,Kantar Worldpanel: Kantar,,
kanth,,NA,
kapilitsolutions,KAPIL IT Solutions,,
kaplan,Kaplan,,
karogiaadvisoryservices,K-AROGIA ADVISORY SERVICES PRIVATE LIMITED,,
karvycomputershare,Karvy Financial Services Company,,
karvydatamanagementservicesindia,Karvy Data Management Services,,
karvygroup,Karvy Financial Services Company,,
karzatechnologies,Karza Technologies,,
kashishcorporation,Kashish Developers,,
katumburatech,,NA,
kbcprofessional,KBC Professional,,
kerlanjobeorthopaedicclinic,Cedars-Sinai Kerlan-Jobe Institute,,
keysighttechnologies,Keysight,,
khatabook,Khatabook,,
kiaraautomotora,Kiara Automotora,,
kibbcom,KibbCom India,,
kidventoeducationresearch,Kidvento,,
kinaracapital,Kinara Capital,,
kirasystems,Kira Systems,,
kisanforum,Kisan,,
kissht,Kissht,,
kit,Karlsruhe Institute of Technology,,
kiwilabs,kiwilabs.io,,
kktechnicalgroup,K & K Technical,,
klaxonindiaprivatelimited,Klaxon India,,
klugheitsoftware,Klugheit Software,,
kmart,Kmart,,
knoema,Knoema,,
knorex,Knorex,,
knowledgefoundry,Knowledge Foundry,,
knowledgelens,Knowledge Lens,,
knowledgesolutionsindia,Knowledge Solutions India,,
knowxinnovations,Knowx Innovations,,
kochindustries,Koch Industries,,
kogentix,Kogentix Technologies Private Limited,,
kohler,Kohler,,
koireadertechnologies,KoiReader,,
konkasoft,Konkasoft,,
koolsmiles,Kool Smiles,,
kotakmahindra,Kotak Mahindra Bank,,
kpittechnologies,KPIT,,
kpmg,KPMG,,
kptechobriks,KP TechnoBricks,,
krazybee,KrazyBee,,
kreditbee,KreditBee,,
krithaconvertors,Kritha Convertors Private Limited,,
kroll,Kroll,,
kruzr,Kruzr,,
kubric,Kubric,,
kudosfinanceandinvestments,Kudos Finance And Investments Private Limited,,
kukunenterprise,KUKU ENTERPRISES,,
kurrajonganddistricthospitalsociety,,NA,
kushim,Kushim,,
kutumbhcare,Kutumbh Care Pvt Ltd,,
kvantum,Kvantum Inc.,,
kwantics,Kwantics,,
kychub,KYC Hub,,
kyndryl,Kyndryl,,
lacasaone,Lacasa One,,
laerdalmedical,Laerdal Medical,,
lalitroongtagroup,Lalit Roongta Group,,
lamresearch,Lam Research,,
landmarkgroup,Landmark Group,,
landmarkitsolutions,Landmark IT Solutions,,
landytech,Landytech,,
larsenandtoubroeengineeringsolutions,L&T e-Engineering Solutions,,
larsentoubro,L&T India | Larsen & Toubro,,
latentviewanalytics,LatentView Analytics,,
latitudefintech,Latitude Fintech Pvt Ltd,,
lavainternational,LAVA international,,
lawinorder,Law In Order,,
lbrands,L Brands,,
leadgebusinessservices,Leadge Business Consultants,,
leadschoolindia,LEAD School,,
legatohealthtechnologies,Legato Health Technologies,,
lendingkart,Lendingkart,,
lenovo,Lenovo India,,
lens,,NA,
letsgrowmore,LetsGrowMore,,
levistrauss,Levi Strauss,,
lexitas,Lexitas,,
liasesforas,Liases Foras,,
liberintechnologies,Liberin Technologies,,
lido,Lido Learning,,
lifetimewellnessrxinternationallimited,Lifetime Wellness Rx International Limited,,
limeroad,Limeroad,,
lincode,Lincode Labs,,
linkedin,LinkedIn,,
linscan,LIN SCAN,,
linsyssofttechnologies,Linsyssoft Technologies Private Limited,,
linuxworld,LinuxWorld Informatics Pvt Ltd,,
liquidhub,Liquid-Hub,,
litifer,Litifer,,
litmusworld,LitmusWorld,,
livnsense,LivNSense Technologies,,
livpure,Livpure,,
lnterplast,Interplast,,
locobuzz,Locobuzz,,
locus,Locus,,
logictechnology,"LOGIC Technologies, Inc.",,
loginextsolutions,LogiNext,,
loginworks,Loginworks Softwares,,
logiprosoftware,Logipro Software Private Limited,,
logisticsnow,LogisticsNow,,
lokibots,LokiBots,,
lookingforjob,Looking for Job,,
loschengineering,Bosch Engineering,,
loweshomeimprovement,Lowe's Home Improvement,,
loyalyticsconsulting,Loyalytics Consulting,,
loyltyrewardzmngt,Loylty Rewardz,,
ltfinancialservices,L&T Finance,,
lti,LTI - Larsen & Toubro Infotech,,
ltisenior,LTI - Larsen & Toubro Infotech,,
lttechnologyservices,L&T Technology Services (LTTS),,
lucidatechnologies,Lucida Technologies,,
lucidityconsultinggroup,Lucidity Consulting Group,,
lumen,Lumen,,
lumiq,Lumiq,,
lumiqindia,Lumiq,,
luxoft,Luxoft,,
lymbyc,Lymbyc,,
machanigroup,MACHANIGROUP,,
machinelearning,,NA,
machintel,Machintel,,
mactores,Mactores,,
madstreetdensystems,Mad Street Den,,
maersk,Maersk,,
maestrointellect,Maestro Intellect,,
magic9mediaanalytics,Magic9 Media & Analytics Pvt. Ltd,,
magicbricks,Magicbricks,,
magicleap,Magic Leap,,
magnainfotech,Magna Infotech,,
magnaquest,Magnaquest,,
maharshi,Maharshi,,
mahendrasinstitute,Mahendras.org,,
mahindra,Mahindra Group,,
mahindrafirstchoicewheels,Mahindra First Choice,,
mahindraintegratedbusinesssolutions,Mahindra Integrated Business Solutions,,
mahiraengineering,Mahira Engineering W.L.L,,
majorel,Majorel,,
makemytrip,MakeMyTrip,,
mancorpinnovationlabs,ManCorp Innovation Labs,,
manipaluniversity,Manipal University,,
mankibaat,Mann Ki Baat,,
manthan,Manthan Systems,,
manthanstudio,Manthan Studio,,
mantralabs,Mantra Labs,,
mantratechnologiesindia,Mantra Technologies,,
mapmyindia,MapmyIndia,,
maqsoftware,MAQ Software,,
marketlinc,MarketLinc,,
marketpulsetechnologies,Market Pulse Tech,,
marketsandmarkets,MarketsandMarkets,,
marksspencer,Marks and Spencer India,,
marlabs,Marlabs,,
marswebsolution,MARS Web Solution,,
martentransport,"Marten Transport, Ltd.",,
marutisuzuki,Maruti Suzuki,,
masstechnologies,MASS Technologies Inc,,
mastercard,Mastercard,,
mastheadtechnologies,Masthead Technologies Pvt. Ltd.,,
matelabs,Mate Labs,,
mathworks,MathWorks,,
mavenir,Mavenir,,
mavenwavepartners,Maven Wave,,
maxfashions,Max Fashion,,
maxgentechnologies,MAXGEN TECHNOLOGIES PVT LTD,,
maybank,Maybank,,
mbblabs,Mbb Labs Private Limited,,
mcafee,McAfee,,
mcdonalds,McDonald's,,
mckinleyrice,McKinley Rice,,
mckinneyandcompany,McKinsey & Company,,
mckinseycompany,McKinsey & Company,,
mckinseyknowledgecenter,McKinsey Knowledge Center,,
mealsonwheelsamerica,Meals on Wheels America,,
mechademyengineeringsolutions,Mechademy,,
mediaagility,MediaAgility,,
mediamint,MediaMint,,
medianet,Media.net,,
medibox,Medibox,,
medicento,Medicento,,
medlineindustries,Medline,,
medtoureasy,MedTourEasy,,
meeamitechnologies,Meeami Technologies,,
meghaengineeringandinfrastructure,Megha Engineering and Infrastructure Limited,,
menukurichakradharreddy,,NA,
mercedesbenzinternational,Mercedes-Benz International,,
mercedesbenzresearchanddevelopmentindia,Mercedes-Benz Research & Development India,,
mercer,Mercer,,
merckkgaa,Merck KGaA,,
merilytics,Merilytics,,
merkle,Merkle Sokrati,,
merumobilitytech,MERU MOBILITY TECH PRIVATE LIMITED,,
meshca,Meshca Jewellery,,
meta,Meta,,
metagogylearningsystems,METAGOGY LEARNING SYSTEMS PRIVATE LIMITED,,
metaswitch,Metaswitch,,
metlife,MetLife,,
metrics4analytics,Metrics4 Analytics,,
metrixlab,MetrixLab,,
metteyyaanalytics,Metteyya Analytics LLC,,
mfarms,Mfarms,,
mfine,MFine,,
mhalshaya,Alshaya Group,,
michelin,Michelin India,,
microland,Microland,,
microntechnology,"Micron Technology, Inc.",,
microsoft,Microsoft,,
microtekinternationalindia,Microtek,,
microworldtechnologies,MicroWorld Technologies Inc,,
midcoastregionalredevelopmentauthority,Midcoast Regional Redevelopment Authority (MRRA),,
milaap,Milaap,,
milkbasket,Milkbasket,,
mindboard,Mindboard,,
mindbody,Mindbody,,
mindbowserinfosolutions,MindBowser,,
mindtree,Mindtree,,
mintifi,Mintifi,,
minvesta,Minvesta Infotech Limited,,
miq,MiQ,,
miqlogistics,MIQ Logistics,,
miraknittingworks,Mira Knitting Works Pvt Ltd,,
mirrag,Mirrag AI,,
mit,,NA,
mitworldpeaceuniversity,MIT-WPU,,
mobilepremierleague,Mobile Premier League (MPL),,
mobileprogramming,Mobile programming LLC,,
mobilityquest,Mobility Quest,,
mobiotics,Mobiotics,,
molecularconnections,Molecular Connections Pvt Ltd,,
mondelÄ“zinternational,"Mondelēz International, Inc.",,
moneytap,MoneyTap,,
moneytor,Moneytor,,
moneyview,Money View,,
monocept,Monocept,,
monsantocompany,Monsanto Company,,
monsoonindia,Monsoon,,
monsooninfotechinc,Monsoon Technologies Private Limited,,
montytelecomdevelopment,Monty Telecom Development,,
moodysanalytics,Moody's Analytics,,
moodyscorporation,Moody's Corporation,,
moonstoneinfotech,Moonstone Infotech,,
morganstanley,Morgan Stanley,,
morningstar,Morningstar,,
mosaikanalyticssolutions,Mosaik Analytics Solutions,,
mothersonsumiinfotechanddesigns,MothersonSumi INfotech & Designs Ltd. (MIND),,
motifworks,Motifworks,,
motilaloswalfinancialservices,Motilal Oswal,,
motilaloswalsecurities,Motilal Oswal,,
motorolasolutions,Motorola Solutions,,
mouritech,MOURI Tech,,
moxtain,Moxtain,,
mphasis,Mphasis,,
mresultservices,MResult,,
mroads,Mroads,,
msci,MSCI,,
msixtechnology,MSys Technologies,,
mtxgroup,"MTX Group, Inc",,
multibrandsinternational,Multibrands International,,
multipliersolutions,Multiplier AI Solutions,,
multirecruit,Multi Recruit,,
muoro,Muoro,,
musigma,Mu Sigma,,
musixspace,Musixspace,,
musubimanagement,Musubi Management,,
myally,My Ally,,
myelinfoundry,Myelin Foundry,,
mygate,MyGate,,
myntra,Myntra,,
mypaisaa,myPaisaa,,
myraatechnologies,Myraa Technologies,,
myways,MyWays,,
na,,NA,
nabardconsultancyservices,NABARD Consultancy Services,,
nablerwebsolutions,Nabler,,
naerialconsultancy,Naerial Consultancy Llp,,
nagamanihospital,Nagamani Hospital,,
nagarro,Nagarro,,
nagendranco,,NA,
naidu,,NA,
nailbiter,Nailbiter,,
namekart,Namekart,,
nan,,NA,
nassaure,Nassau Re,,
nationalcentreforbiologicalsciences,National Centre for Biological Sciences,,
nationalinstituteoftechnologykarnataka,,NA,
nationalpaymentscorporationofindia,NPCI - National Payments Corporation of India,,
natwestgroup,NatWest Group,,
naukricom,Naukri.com,,
naveenengineering,Naveen Engineering Industries,,
navialifecare,Navia Life Care,,
navidium,Navidium,,
navigare,Navigare Systems,,
naviriskconsulting,NAVIRISK,,
navosystems,Nanosystems,,
navrititechnologies,Navriti Technologies,,
navyuginfosolutions,Navyug Infosolutions,,
naworldservices,,NA,
ncbs,NCBS,,
ncr,,NA,
ncsanextcollegestudentathlete,,NA,
ndsinfoserv,NDS InfoServ,,
nealanalytics,Neal Analytics,,
necsoftwaresolutionsuk,NEC Software Solutions,,
neenopal,NeenOpal,,
neewee,Neewee,,
nehabhakat,,NA,
nehagupta,,NA,
neogrowthcredit,NeoGrowth,,
neomediaworld,Neo Media World,,
nerdgeeklab,Nerd Geek Lab,,
nestawaytechnologies,NestAway,,
nestlÃ©,Nestlé,,
netapp,NetApp,,
netcoresolutions,Netcore Cloud,,
netcrackertechnology,Netcracker,,
netenrichinc,Netenrich,,
netflix,Netflix,,
netomi,Netomi,,
netprophetscyberworks,NetProphets Cyberworks Pvt. Ltd.,,
netradyne,Netradyne,,
neudesic,Neudesic,,
neustar,Neustar,,
neutrinotechsystems,Neutrino Tech Systems,,
nevaventures,Neva Ventures,,
neviton,Neviton,,
newfolddigital,Newfold Digital,,
newspaceresearchandtechnologies,NewSpace Research and Technologies,,
nexiiitlabs,Nexiilabs,,
nexteducationindia,Next Education,,
nextgeninvent,NextGen Invent Corporation,,
nexussoftwaresystemjunior,Nexus Software System,,
nference,nference,,
ngdata,NGDATA,,
nhai,NHAI,,
niamariesser,,NA,
nice,NICE,,
nidhihospital,Nidhi Hospital,,
nielsen,Nielsen,,
nielseniq,NielsenIQ,,
nightlightpediatricurgentcare,NightLight Pediatric Urgent Care,,
niit,NIIT,,
nike,Nike,,
nikhilanalytics,Nikhil Analytics,,
nimbushire,Nimbus Hire,,
nineabusinessconnect,Nine A Business Connect Pvt. Ltd.,,
nineleapstechnologysolutions,Nineleaps,,
ninestarsinformationtechnologies,Ninestars Information Technologies,,
ninjacart,Ninjacart,,
niranjanshah,,NA,
niscomteleinfra,NISCOM Tele Infra Pvt. Ltd.,,
nisum,Nisum,,
nitishverma,Nitish Verma,,
nitjalandhar,,NA,
nits,National Institute of Technology Silchar,,
nityoinfotech,Nityo Infotech Services Pvt. Ltd,,
nivettisystems,Nivetti Systems,,
niyo,Niyo,,
nlbservices,NLB Services,,
nntcorp,NNT CORP,,
nobodylikesonions,NOBODY LIKES ONIONS,,
nobroker,NoBroker,,
noesyssoftware,Noesys,,
nokia,Nokia Corporation,,
nomuraholdings,"Nomura Holdings, Inc.",,
noneofyourbusinessboutique,None Of Your Business Boutique,,
nones,,NA,
nonesdatascience,,NA,
noodleai,Noodle.ai,,
noon,noon,,
northcorpsoftware,Northcorp Software,,
northernalbertainstituteoftechnology,,NA,
notapplicable,,NA,
nothingsomething,,NA,
novartis,Novartis India,,
novelsynthsoftsolutions,Novel Synth,,
novonordisk,Novo Nordisk,,
novotech,Novotech CRO,,
novozymes,Novozymes,,
nsmatrixservices,NSMX | NS Matrix Services,,
nthrive,nThrive,,
